Nombre del Producto,Serie,Capacidad_kVA,Capacidad_kW,Eficiencia_Modo_AC_pct,Eficiencia_Modo_Bateria_pct,Eficiencia_Modo_ECO_pct,FP_Salida,Voltaje_Entrada_1_V,Voltaje_Entrada_2_V,Voltaje_Entrada_3_V,Conexion_Entrada,Voltaje_Salida_1_V,Voltaje_Salida_2_V,Voltaje_Salida_3_V,Conexion_Salida,Frecuencia_1_Hz,Frecuencia_2_Hz,Frecuencia_Precision_pct,THDu_Lineal_pct,THDu_NoLineal_pct,Sobrecarga_110_pct_min,Sobrecarga_125_pct_min,Sobrecarga_150_pct_min,Bateria_Vdc,Bateria_Piezas_min,Bateria_Piezas_max,Bateria_Piezas_defecto,Precision_Voltaje_pct,TempTrabajo_min_C,TempTrabajo_max_C,Humedad_min_pct,Humedad_max_pct,Peso_Gabinete_kg,Dim_Largo_mm,Dim_Ancho_mm,Dim_Alto_mm,Nivel_Ruido_dB,Cable_Entrada_mm2,Cable_Entrada_conductores,Cable_Salida_mm2,Cable_Salida_conductores,Cable_Bateria_mm2,Cable_Bateria_conductores,Cable_PE_mm2
Dragon Power Plus 60,Modular,60,60,96,96,S/D,1,S/D,S/D,S/D,S/D,480,S/D,S/D,(3P + N + PE),50,60,S/D,1,5,60,10,1,240,30,50,S/D,1,0,40,0,95,S/D,442,659,174,72,240,3,S/D,S/D,240,3,S/D
Dragon Power Plus 50,Modular,50,50,96,S/D,S/D,1,S/D,S/D,S/D,S/D,440,460,480,(3P + N + PE),50,60,S/D,2,4,60,10,1,240,40,50,S/D,1,0,40,0,95,180,440,620,131,65,150,S/D,150,S/D,150,2,S/D
Dragon Power Plus 40,Modular,40,40,96,95,S/D,1,S/D,S/D,S/D,S/D,480,S/D,S/D,(L-L),50,60,S/D,1,5.5,60,10,1,240,S/D,S/D,S/D,1,0,40,0,95,120,510,700,178,72,S/D,S/D,S/D,S/D,S/D,S/D,S/D
Dragon Power Plus 40,Modular,40,36,96,96,S/D,0.9,S/D,S/D,S/D,S/D,480,S/D,S/D,S/D,50,60,S/D,1,6,60,10,1,240,32,44,40,1.5,0,40,0,95,120,510,700,178,65,50,S/D,35,S/D,50,S/D,S/D
Dragon Power Plus 40,Modular,400,360,96,96,S/D,0.9,S/D,S/D,S/D,S/D,480,S/D,S/D,S/D,50,60,S/D,1,6,60,10,1,240,32,44,S/D,1.5,0,40,0,95,450,510,700,178,65,2,S/D,2,S/D,2,240,S/D
Dragon Power Plus 30,Modular,30,30,S/D,93,S/D,1,S/D,S/D,S/D,S/D,208,220,S/D,(3P + N + PE),50,60,S/D,1.5,6,60,10,1,120,S/D,S/D,S/D,1,0,40,0,95,210,510,700,178,68,S/D,S/D,S/D,S/D,S/D,S/D,S/D
Dragon Power Plus 30,Modular,30,27,94,93,S/D,0.9,S/D,S/D,S/D,S/D,208,120,S/D,S/D,50,60,S/D,1,6,60,10,1,120,36,44,40,1.5,0,40,0,95,165,510,700,178,65,70,S/D,70,S/D,2,50,S/D
Dragon Power Plus 30,Modular,60,54,94,93,S/D,0.9,S/D,S/D,S/D,S/D,208,120,S/D,S/D,50,60,S/D,1,6,60,10,1,120,36,44,S/D,1.5,0,40,0,95,210,510,700,178,65,70,S/D,70,S/D,2,50,S/D
Dragon Power Plus 30,Modular,90,81,94,93,S/D,0.9,S/D,S/D,S/D,S/D,208,120,S/D,S/D,50,60,S/D,1,6,60,10,1,120,36,44,S/D,1.5,0,40,0,95,305,510,700,178,65,2,S/D,2,S/D,2,120,S/D
Dragon Power Plus 30,Modular,120,108,94,93,S/D,0.9,S/D,S/D,S/D,S/D,208,120,S/D,S/D,50,60,S/D,1,6,60,10,1,120,36,44,S/D,1.5,0,40,0,95,350,510,700,178,65,2,S/D,2,S/D,2,120,S/D
Dragon Power Plus 30,Modular,150,135,94,93,S/D,0.9,S/D,S/D,S/D,S/D,208,120,S/D,S/D,50,60,S/D,1,6,60,10,1,120,36,44,S/D,1.5,0,40,0,95,445,510,700,178,65,2,S/D,2,S/D,2,185,S/D
Dragon Power Plus 30,Modular,180,162,94,93,S/D,0.9,S/D,S/D,S/D,S/D,208,120,S/D,S/D,50,60,S/D,1,6,60,10,1,120,36,44,S/D,1.5,0,40,0,95,490,510,700,178,65,2,S/D,2,S/D,2,185,S/D
Dragon Power Plus 30,Modular,300,270,94,93,S/D,0.9,S/D,S/D,S/D,S/D,208,120,S/D,S/D,50,60,S/D,1,6,60,10,1,120,36,44,S/D,1.5,0,40,0,95,900,510,700,178,65,2,S/D,2,S/D,2,240,S/D
Dragon Power Plus 15,Modular/Rack,15,13.5,95.5,95,S/D,0.9,S/D,S/D,S/D,S/D,208,220,S/D,(3P + N + PE),50,60,S/D,1.5,6,60,10,1,120,24,40,S/D,1,0,40,0,95,30,500,800,650,65,S/D,S/D,S/D,S/D,S/D,S/D,S/D
Dragon Power Plus 15,Modular/Rack,15,13.5,95.5,95.5,S/D,0.9,S/D,S/D,S/D,S/D,208,120,S/D,S/D,50,60,S/D,1,6,60,10,1,120,S/D,S/D,S/D,1.5,0,40,0,95,30,488,945,130,65,10,S/D,10,S/D,16,S/D,S/D
Dragon Power Plus 15,Modular/Rack,10,9,95,94.5,S/D,0.9,S/D,S/D,S/D,S/D,208,120,S/D,S/D,50,60,S/D,1,6,60,10,1,120,S/D,S/D,S/D,1.5,0,40,0,95,25,488,945,130,65,10,S/D,6,S/D,10,S/D,S/D
Dragon Power Plus 10,Modular,10,9,95,94.5,S/D,0.9,S/D,S/D,S/D,S/D,208,120,S/D,S/D,50,60,S/D,1,6,60,10,1,120,36,44,40,1.5,0,40,0,95,S/D,S/D,S/D,S/D,65,10,S/D,10,S/D,10,S/D,S/D
Dragon Power Plus 10,Modular,20,18,95,94.5,S/D,0.9,S/D,S/D,S/D,S/D,208,120,S/D,S/D,50,60,S/D,1,6,60,10,1,120,36,44,S/D,1.5,0,40,0,95,S/D,S/D,S/D,S/D,65,S/D,S/D,S/D,S/D,S/D,S/D,S/D
Dragon Power Plus 10,Modular,30,27,95,94.5,S/D,0.9,S/D,S/D,S/D,S/D,208,120,S/D,S/D,50,60,S/D,1,6,60,10,1,120,36,44,S/D,1.5,0,40,0,95,S/D,S/D,S/D,S/D,65,S/D,S/D,S/D,S/D,S/D,S/D,25
Dragon Power Plus 10,Modular,40,36,95,94.5,S/D,0.9,S/D,S/D,S/D,S/D,208,120,S/D,S/D,50,60,S/D,1,6,60,10,1,120,36,44,S/D,1.5,0,40,0,95,S/D,S/D,S/D,S/D,65,S/D,S/D,S/D,S/D,S/D,S/D,S/D
Dragon Power Plus 10,Modular,50,45,95,94.5,S/D,0.9,S/D,S/D,S/D,S/D,208,120,S/D,S/D,50,60,S/D,1,6,60,10,1,120,36,44,S/D,1.5,0,40,0,95,S/D,S/D,S/D,S/D,65,S/D,S/D,S/D,S/D,S/D,S/D,50
Dragon Power Ten 10 KVA,Monolítica,10,10,93,S/D,98,0.9,S/D,S/D,S/D,S/D,208,220,230,S/D,50,60,S/D,2,5,S/D,10,0.5,240,16,20,S/D,1,0,40,0,95,116,250,523,842,50,S/D,S/D,S/D,S/D,S/D,S/D,S/D
Dragon Power Six 6 KVA,Rack/Torre,6,6,91,S/D,97,1,S/D,S/D,S/D,S/D,100,200,127,(2P + N),50,60,S/D,2,3,10,S/D,0.167,96,S/D,S/D,S/D,1,0,40,0,95,17.6,678,418,129,55,S/D,S/D,S/D,S/D,S/D,S/D,S/D
