Modelo,Unidad,Tiempo_Min,FV_1.60,FV_1.65,FV_1.70,FV_1.75,FV_1.80
LBS12-10,A,5,38.6,35.0,31.7,28.8,25.6
LBS12-10,A,10,26.2,24.2,22.4,20.5,18.7
LBS12-10,A,15,19.4,18.1,17.1,16.0,14.6
LBS12-10,A,20,15.8,14.9,14.0,13.3,12.4
LBS12-10,A,30,11.5,10.9,10.3,9.92,9.56
LBS12-10,A,45,8.0,7.68,7.49,7.2,6.94
LBS12-10,A,60,6.28,6.22,6.08,5.89,5.63
LBS12-10,A,120,3.65,3.5,3.45,3.37,3.25
LBS12-10,A,180,2.82,2.73,2.62,2.55,2.5
LBS12-10,A,240,2.26,2.19,2.12,2.07,2.02
LBS12-10,A,300,1.85,1.79,1.74,1.7,1.66
LBS12-10,A,360,1.57,1.54,1.51,1.48,1.44
LBS12-10,A,480,1.212,1.2,1.181,1.165,1.145
LBS12-10,A,600,1.005,0.994,0.974,0.955,0.93
LBS12-10,A,1200,0.524,0.521,0.514,0.505,0.5
LBS12-10,W,5,64.0,59.4,54.6,51.0,46.2
LBS12-10,W,10,44.6,42.0,39.3,36.9,34.1
LBS12-10,W,15,34.0,32.3,30.6,29.1,26.9
LBS12-10,W,20,28.4,26.9,25.6,24.5,23.0
LBS12-10,W,30,21.0,20.0,19.1,18.5,17.9
LBS12-10,W,45,14.8,14.3,14.1,13.6,13.2
LBS12-10,W,60,11.8,11.8,11.6,11.3,10.8
LBS12-10,W,120,6.93,6.67,6.62,6.47,6.26
LBS12-10,W,180,5.38,5.24,5.05,4.92,4.85
LBS12-10,W,240,4.35,4.23,4.1,4.0,3.93
LBS12-10,W,300,3.57,3.47,3.38,3.31,3.23
LBS12-10,W,360,3.04,2.99,2.94,2.88,2.81
LBS12-10,W,480,2.37,2.35,2.32,2.29,2.25
LBS12-10,W,600,1.98,1.96,1.92,1.88,1.84
LBS12-10,W,1200,1.032,1.027,1.015,0.998,0.989
LBS12-100,A,5,330.8,291.7,261.6,237.0,210.0
LBS12-100,A,10,232.5,215.1,199.5,186.3,167.6
LBS12-100,A,15,188.5,178.5,165.1,154.0,143.7
LBS12-100,A,20,154.3,146.6,138.9,130.8,123.5
LBS12-100,A,30,112.3,106.7,101.8,96.5,92.1
LBS12-100,A,45,80.5,77.4,74.6,71.3,68.7
LBS12-100,A,60,63.8,61.9,59.5,57.1,55.1
LBS12-100,A,120,37.5,36.3,35.3,34.4,33.1
LBS12-100,A,180,27.6,26.7,26.0,25.4,24.6
LBS12-100,A,240,22.2,21.7,21.2,20.7,20.2
LBS12-100,A,300,18.6,18.3,17.9,17.6,17.2
LBS12-100,A,360,16.2,15.9,15.6,15.3,15.0
LBS12-100,A,480,12.7,12.6,12.4,12.2,12.0
LBS12-100,A,600,10.5,10.3,10.2,10.1,10.0
LBS12-100,A,1200,5.45,5.4,5.34,5.29,5.2
LBS12-100,W,5,578.9,519.3,470.9,431.3,386.4
LBS12-100,W,10,418.2,391.4,366.5,344.9,312.2
LBS12-100,W,15,345.1,330.2,307.7,288.7,271.0
LBS12-100,W,20,286.6,274.5,261.8,247.8,235.1
LBS12-100,W,30,211.1,201.9,193.6,184.3,176.8
LBS12-100,W,45,152.9,147.7,143.0,137.3,132.7
LBS12-100,W,60,122.4,119.1,115.0,110.8,107.2
LBS12-100,W,120,71.1,69.2,67.6,66.0,63.8
LBS12-100,W,180,52.7,51.3,50.1,49.1,47.7
LBS12-100,W,240,42.6,41.8,41.0,40.1,39.2
LBS12-100,W,300,35.9,35.3,34.8,34.3,33.6
LBS12-100,W,360,31.3,30.8,30.4,29.9,29.4
LBS12-100,W,480,24.8,24.6,24.3,24.0,23.7
LBS12-100,W,600,20.5,20.3,20.1,19.9,19.8
LBS12-100,W,1200,10.7,10.6,10.5,10.4,10.3
LBS12-55,A,5,190.8,173.0,156.9,142.5,126.4
LBS12-55,A,10,132.7,122.2,113.3,103.9,94.6
LBS12-55,A,15,100.8,94.3,88.7,83.1,76.0
LBS12-55,A,20,79.6,74.7,70.4,66.9,62.2
LBS12-55,A,30,59.4,56.3,53.3,51.3,49.4
LBS12-55,A,45,42.5,40.7,39.7,38.2,36.8
LBS12-55,A,60,33.6,32.4,31.3,30.4,29.0
LBS12-55,A,120,20.7,20.0,19.4,18.7,18.0
LBS12-55,A,180,15.8,15.3,14.7,14.3,14.1
LBS12-55,A,240,12.7,12.4,11.9,11.6,11.4
LBS12-55,A,300,10.3,9.98,9.71,9.46,9.23
LBS12-55,A,360,8.79,8.61,8.42,8.25,8.03
LBS12-55,A,480,6.82,6.75,6.65,6.56,6.45
LBS12-55,A,600,5.79,5.73,5.61,5.56,5.5
LBS12-55,A,1200,3.0,2.98,2.94,2.89,2.86
LBS12-55,W,5,316.3,293.6,270.0,252.2,228.6
LBS12-55,W,10,225.5,212.6,198.8,186.6,172.6
LBS12-55,W,15,176.5,167.8,159.0,151.0,140.0
LBS12-55,W,20,142.7,135.4,128.4,123.1,115.6
LBS12-55,W,30,108.3,103.3,98.7,95.4,92.7
LBS12-55,W,45,78.8,76.0,74.8,72.2,70.2
LBS12-55,W,60,63.1,61.2,59.7,58.0,55.7
LBS12-55,W,120,39.2,38.1,37.3,35.9,34.8
LBS12-55,W,180,30.2,29.4,28.4,27.6,27.2
LBS12-55,W,240,24.5,23.8,23.1,22.6,22.2
LBS12-55,W,300,19.9,19.3,18.9,18.4,18.0
LBS12-55,W,360,17.0,16.7,16.4,16.1,15.7
LBS12-55,W,480,13.3,13.2,13.0,12.9,12.7
LBS12-55,W,600,11.4,11.3,11.1,11.0,10.9
LBS12-55,W,1200,5.9,5.88,5.81,5.7,5.66
LBS12-7.2,A,5,27.6,26.2,24.1,22.1,19.8
LBS12-7.2,A,10,18.0,17.3,16.4,15.3,14.0
LBS12-7.2,A,15,13.9,13.5,12.9,12.1,11.3
LBS12-7.2,A,20,11.2,11.0,10.52,10.01,9.52
LBS12-7.2,A,30,7.93,7.8,7.57,7.3,7.0
LBS12-7.2,A,45,5.62,5.52,5.41,5.25,5.07
LBS12-7.2,A,60,4.44,4.37,4.3,4.17,4.06
LBS12-7.2,A,120,2.53,2.49,2.45,2.4,2.32
LBS12-7.2,A,180,1.87,1.84,1.81,1.77,1.72
LBS12-7.2,A,240,1.51,1.49,1.47,1.44,1.41
LBS12-7.2,A,300,1.27,1.25,1.23,1.21,1.19
LBS12-7.2,A,360,1.09,1.08,1.06,1.05,1.03
LBS12-7.2,A,480,0.858,0.85,0.84,0.828,0.814
LBS12-7.2,A,600,0.705,0.699,0.692,0.682,0.672
LBS12-7.2,A,1200,0.378,0.375,0.372,0.367,0.36
LBS12-7.2,W,5,49.8,47.8,44.5,41.1,37.2
LBS12-7.2,W,10,33.0,32.1,30.7,28.9,26.7
LBS12-7.2,W,15,25.9,25.4,24.4,23.1,21.8
LBS12-7.2,W,20,21.2,21.0,20.2,19.3,18.4
LBS12-7.2,W,30,15.2,15.0,14.7,14.2,13.7
LBS12-7.2,W,45,10.8,10.7,10.6,10.3,9.95
LBS12-7.2,W,60,8.63,8.54,8.45,8.22,8.02
LBS12-7.2,W,120,4.95,4.89,4.84,4.74,4.61
LBS12-7.2,W,180,3.67,3.63,3.58,3.51,3.43
LBS12-7.2,W,240,2.98,2.96,2.92,2.87,2.81
LBS12-7.2,W,300,2.51,2.48,2.45,2.42,2.37
LBS12-7.2,W,360,2.16,2.15,2.12,2.1,2.06
LBS12-7.2,W,480,1.71,1.7,1.68,1.66,1.64
LBS12-7.2,W,600,1.406,1.398,1.386,1.372,1.355
LBS12-7.2,W,1200,0.755,0.751,0.746,0.74,0.728
LBS12-75,A,5,260.2,235.9,213.9,194.3,172.3
LBS12-75,A,10,180.9,166.7,154.4,141.7,128.9
LBS12-75,A,15,137.5,128.6,120.9,113.3,103.7
LBS12-75,A,20,108.6,101.9,95.9,91.3,84.9
LBS12-75,A,30,81.0,76.7,72.7,69.9,67.3
LBS12-75,A,45,57.9,55.6,54.2,52.1,50.2
LBS12-75,A,60,45.8,44.2,42.7,41.4,39.6
LBS12-75,A,120,28.2,27.2,26.5,25.5,24.6
LBS12-75,A,180,21.6,20.9,20.1,19.5,19.2
LBS12-75,A,240,17.4,16.8,16.3,15.9,15.5
LBS12-75,A,300,14.1,13.6,13.2,12.9,12.6
LBS12-75,A,360,12.0,11.7,11.5,11.2,10.9
LBS12-75,A,480,9.3,9.21,9.07,8.94,8.79
LBS12-75,A,600,7.89,7.81,7.65,7.58,7.5
LBS12-75,A,1200,4.09,4.07,4.01,3.94,3.9
LBS12-75,W,5,431.3,400.3,368.2,343.9,311.7
LBS12-75,W,10,307.6,289.9,271.1,254.5,235.4
LBS12-75,W,15,240.6,228.8,216.8,205.9,190.9
LBS12-75,W,20,194.6,184.7,175.1,167.9,157.6
LBS12-75,W,30,147.7,140.9,134.6,130.1,126.3
LBS12-75,W,45,107.4,103.6,102.0,98.4,95.8
LBS12-75,W,60,86.0,83.5,81.4,79.1,76.0
LBS12-75,W,120,53.4,52.0,50.8,49.0,47.4
LBS12-75,W,180,41.2,40.1,38.7,37.7,37.1
LBS12-75,W,240,33.4,32.5,31.5,30.8,30.2
LBS12-75,W,300,27.1,26.3,25.7,25.1,24.6
LBS12-75,W,360,23.2,22.8,22.4,22.0,21.4
LBS12-75,W,480,18.2,18.0,17.8,17.6,17.3
LBS12-75,W,600,15.5,15.4,15.1,14.9,14.8
LBS12-75,W,1200,8.05,8.02,7.92,7.78,7.71
LBS12-9.0,A,5,39.7,38.5,36.8,34.6,31.5
LBS12-9.0,A,10,24.5,23.6,22.8,21.6,20.5
LBS12-9.0,A,15,18.5,18.2,17.6,16.9,15.9
LBS12-9.0,A,20,14.8,14.5,14.0,13.6,12.9
LBS12-9.0,A,30,10.7,10.5,10.2,9.83,9.46
LBS12-9.0,A,45,7.57,7.44,7.28,7.05,6.81
LBS12-9.0,A,60,5.84,5.74,5.64,5.5,5.32
LBS12-9.0,A,120,3.17,3.12,3.07,2.98,2.89
LBS12-9.0,A,180,2.25,2.22,2.18,2.12,2.06
LBS12-9.0,A,240,1.78,1.76,1.72,1.68,1.62
LBS12-9.0,A,300,1.49,1.47,1.44,1.4,1.36
LBS12-9.0,A,360,1.28,1.26,1.24,1.21,1.18
LBS12-9.0,A,480,1.02,1.01,0.988,0.979,0.941
LBS12-9.0,A,600,0.838,0.83,0.822,0.807,0.786
LBS12-9.0,A,1200,0.443,0.44,0.438,0.432,0.43
LBS12-9.0,W,5,68.1,67.0,65.2,62.1,57.3
LBS12-9.0,W,10,42.8,41.7,41.0,39.3,37.7
LBS12-9.0,W,15,32.9,32.6,32.0,31.0,29.5
LBS12-9.0,W,20,26.7,26.4,25.8,25.2,24.2
LBS12-9.0,W,30,19.6,19.4,19.0,18.4,17.8
LBS12-9.0,W,45,14.0,13.9,13.7,13.3,13.0
LBS12-9.0,W,60,11.0,10.9,10.7,10.5,10.2
LBS12-9.0,W,120,6.02,5.96,5.88,5.73,5.57
LBS12-9.0,W,180,4.3,4.27,4.21,4.09,4.0
LBS12-9.0,W,240,3.42,3.4,3.34,3.25,3.15
LBS12-9.0,W,300,2.87,2.85,2.8,2.73,2.65
LBS12-9.0,W,360,2.49,2.46,2.43,2.38,2.31
LBS12-9.0,W,480,1.98,1.97,1.94,1.92,1.85
LBS12-9.0,W,600,1.64,1.63,1.62,1.59,1.55
LBS12-9.0,W,1200,0.872,0.868,0.863,0.854,0.851
