id,Nombre_del_Producto,Serie,Fuente,Capacidad_kVA,Capacidad_kW,Eficiencia_Modo_AC_pct,Eficiencia_Modo_Bateria_pct,Eficiencia_Modo_ECO_pct,FP_Salida,Voltaje_Entrada_1_V,Voltaje_Entrada_2_V,Voltaje_Entrada_3_V,Conexion_Entrada,Voltaje_Salida_1_V,Voltaje_Salida_2_V,Voltaje_Salida_3_V,Conexion_Salida,Frecuencia_1_Hz,Frecuencia_2_Hz,Frecuencia_Precision_pct,THDu_Lineal_pct,THDu_NoLineal_pct,Sobrecarga_110_pct_min,Sobrecarga_125_pct_min,Sobrecarga_150_pct_min,Bateria_Vdc,Bateria_Piezas_min,Bateria_Piezas_max,Bateria_Piezas_defecto,Precision_Voltaje_pct,TempTrabajo_min_C,TempTrabajo_max_C,Humedad_min_pct,Humedad_max_pct,Peso_Gabinete_kg,Dim_Largo_mm,Dim_Ancho_mm,Dim_Alto_mm,Nivel_Ruido_dB,Torque_M6_Nm,Torque_M8_Nm,Torque_M10_Nm,Torque_M12_Nm,Torque_M16_Nm,Cable_Entrada_mm2,Cable_Entrada_conductores,Cable_Salida_mm2,Cable_Salida_conductores,Cable_Bateria_mm2,Cable_Bateria_conductores,Cable_PE_mm2,imagen_url,imagen_instalacion_url,imagen_baterias_url,imagen_general_url,imagen_plano_url,imagen_ventilacion_url,tipo_ventilacion_id,imagen_diagrama_ac_url,imagen_diagrama_dc_url,imagen_layout_url
1,Dragon Power Plus 60,Modular,,60.0,60.0,96.0,96.0,,1.0,,,,,480.0,,,(3P + N + PE),50.0,60.0,,1.0,5.0,60.0,10.0,1.0,240.0,30.0,50.0,,1.0,0.0,40.0,0.0,95.0,,442.0,659.0,174.0,72.0,,,,,,240.0,3.0,,,240.0,3.0,,,,,,,,,,,
2,Dragon Power Plus 50,Modular,,50.0,50.0,96.0,,,1.0,,,,None,440.0,460.0,480.0,(3P + N + PE),50.0,60.0,,2.0,4.0,60.0,10.0,1.0,240.0,40.0,50.0,,1.0,0.0,40.0,0.0,95.0,180.0,440.0,620.0,131.0,65.0,,,,,,150.0,,150.0,,150.0,2.0,,DIAG_DragonPowerPLUS50.png,DragonPower6KVA_NOTAINS.png,DragonPower6KVA_BAT.png,,,,3,,,
3,Dragon Power Plus 40,Modular,,40.0,40.0,96.0,95.0,,1.0,,,,,480.0,,,(L-L),50.0,60.0,,1.0,5.5,60.0,10.0,1.0,240.0,,,,1.0,0.0,40.0,0.0,95.0,120.0,510.0,700.0,178.0,72.0,,,,,,,,,,,,,,,,,,,,,,
4,Dragon Power Plus 40,Modular,,40.0,36.0,96.0,96.0,,0.9,,,,,480.0,,,,50.0,60.0,,1.0,6.0,60.0,10.0,1.0,240.0,32.0,44.0,40.0,1.5,0.0,40.0,0.0,95.0,120.0,510.0,700.0,178.0,65.0,,,,,,50.0,,35.0,,50.0,,,,,,,,,,,,
5,Dragon Power Plus 40,Modular,,400.0,360.0,96.0,96.0,,0.9,,,,,480.0,,,,50.0,60.0,,1.0,6.0,60.0,10.0,1.0,240.0,32.0,44.0,,1.5,0.0,40.0,0.0,95.0,450.0,510.0,700.0,178.0,65.0,,,,,,2.0,,2.0,,2.0,240.0,,,,,,,,,,,
6,Dragon Power Plus 30,Modular,,30.0,30.0,,93.0,,1.0,,,,,208.0,220.0,,(3P + N + PE),50.0,60.0,,1.5,6.0,60.0,10.0,1.0,120.0,,,,1.0,0.0,40.0,0.0,95.0,210.0,510.0,700.0,178.0,68.0,,,,,,,,,,,,,,,,,,,,,,
7,Dragon Power Plus 30,Modular,,30.0,27.0,94.0,93.0,,0.9,,,,,208.0,120.0,,,50.0,60.0,,1.0,6.0,60.0,10.0,1.0,120.0,36.0,44.0,40.0,1.5,0.0,40.0,0.0,95.0,165.0,510.0,700.0,178.0,65.0,,,,,,70.0,,70.0,,2.0,50.0,,,,,,,,,,,
8,Dragon Power Plus 30,Modular,,60.0,54.0,94.0,93.0,,0.9,,,,,208.0,120.0,,,50.0,60.0,,1.0,6.0,60.0,10.0,1.0,120.0,36.0,44.0,,1.5,0.0,40.0,0.0,95.0,210.0,510.0,700.0,178.0,65.0,,,,,,70.0,,70.0,,2.0,50.0,,,,,,,,,,,
9,Dragon Power Plus 30,Modular,,90.0,81.0,94.0,93.0,,0.9,,,,,208.0,120.0,,,50.0,60.0,,1.0,6.0,60.0,10.0,1.0,120.0,36.0,44.0,,1.5,0.0,40.0,0.0,95.0,305.0,510.0,700.0,178.0,65.0,,,,,,2.0,,2.0,,2.0,120.0,,,,,,,,,,,
10,Dragon Power Plus 30,Modular,,120.0,108.0,94.0,93.0,,0.9,,,,,208.0,120.0,,,50.0,60.0,,1.0,6.0,60.0,10.0,1.0,120.0,36.0,44.0,,1.5,0.0,40.0,0.0,95.0,350.0,510.0,700.0,178.0,65.0,,,,,,2.0,,2.0,,2.0,120.0,,,,,,,,,,,
11,Dragon Power Plus 30,Modular,,150.0,135.0,94.0,93.0,,0.9,,,,,208.0,120.0,,,50.0,60.0,,1.0,6.0,60.0,10.0,1.0,120.0,36.0,44.0,,1.5,0.0,40.0,0.0,95.0,445.0,510.0,700.0,178.0,65.0,,,,,,2.0,,2.0,,2.0,185.0,,,,,,,,,,,
12,Dragon Power Plus 30,Modular,,180.0,162.0,94.0,93.0,,0.9,,,,,208.0,120.0,,,50.0,60.0,,1.0,6.0,60.0,10.0,1.0,120.0,36.0,44.0,,1.5,0.0,40.0,0.0,95.0,490.0,510.0,700.0,178.0,65.0,,,,,,2.0,,2.0,,2.0,185.0,,,,,,,,,,,
13,Dragon Power Plus 30,Modular,,300.0,270.0,94.0,93.0,,0.9,,,,,208.0,120.0,,,50.0,60.0,,1.0,6.0,60.0,10.0,1.0,120.0,36.0,44.0,,1.5,0.0,40.0,0.0,95.0,900.0,510.0,700.0,178.0,65.0,,,,,,2.0,,2.0,,2.0,240.0,,,,,,,,,,,
14,Dragon Power Plus 15,Modular/Rack,,15.0,13.5,95.5,95.0,,0.9,,,,,208.0,220.0,,(3P + N + PE),50.0,60.0,,1.5,6.0,60.0,10.0,1.0,120.0,24.0,40.0,,1.0,0.0,40.0,0.0,95.0,30.0,500.0,800.0,650.0,65.0,,,,,,,,,,,,,,,,,,,,,,
15,Dragon Power Plus 15,Modular/Rack,,15.0,13.5,95.5,95.5,,0.9,,,,,208.0,120.0,,,50.0,60.0,,1.0,6.0,60.0,10.0,1.0,120.0,,,,1.5,0.0,40.0,0.0,95.0,30.0,488.0,945.0,130.0,65.0,,,,,,10.0,,10.0,,16.0,,,,,,,,,,,,
16,Dragon Power Plus 15,Modular/Rack,,10.0,9.0,95.0,94.5,,0.9,,,,,208.0,120.0,,,50.0,60.0,,1.0,6.0,60.0,10.0,1.0,120.0,,,,1.5,0.0,40.0,0.0,95.0,25.0,488.0,945.0,130.0,65.0,,,,,,10.0,,6.0,,10.0,,,,,,,,,,,,
17,Dragon Power Plus 10,Modular,,10.0,9.0,95.0,94.5,,0.9,,,,,208.0,120.0,,,50.0,60.0,,1.0,6.0,60.0,10.0,1.0,120.0,36.0,44.0,40.0,1.5,0.0,40.0,0.0,95.0,,,,,65.0,,,,,,10.0,,10.0,,10.0,,,,,,,,,,,,
18,Dragon Power Plus 10,Modular,,20.0,18.0,95.0,94.5,,0.9,,,,,208.0,120.0,,,50.0,60.0,,1.0,6.0,60.0,10.0,1.0,120.0,36.0,44.0,,1.5,0.0,40.0,0.0,95.0,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,
19,Dragon Power Plus 10,Modular,,30.0,27.0,95.0,94.5,,0.9,,,,,208.0,120.0,,,50.0,60.0,,1.0,6.0,60.0,10.0,1.0,120.0,36.0,44.0,,1.5,0.0,40.0,0.0,95.0,,,,,65.0,,,,,,,,,,,,25.0,,,,,,,,,,
20,Dragon Power Plus 10,Modular,,40.0,36.0,95.0,94.5,,0.9,,,,,208.0,120.0,,,50.0,60.0,,1.0,6.0,60.0,10.0,1.0,120.0,36.0,44.0,,1.5,0.0,40.0,0.0,95.0,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,
21,Dragon Power Plus 10,Modular,,50.0,45.0,95.0,94.5,,0.9,,,,,208.0,120.0,,,50.0,60.0,,1.0,6.0,60.0,10.0,1.0,120.0,36.0,44.0,,1.5,0.0,40.0,0.0,95.0,,,,,65.0,,,,,,,,,,,,50.0,,,,,,,,,,
22,Dragon Power Ten 10 KVA,Monolítica,,10.0,10.0,93.0,,98.0,0.9,,,,,208.0,220.0,230.0,,50.0,60.0,,2.0,5.0,,10.0,0.5,240.0,16.0,20.0,,1.0,0.0,40.0,0.0,95.0,116.0,250.0,523.0,842.0,50.0,,,,,,,,,,,,,,,,,,,,,,
23,Dragon Power Six 6 KVA,Rack/Torre,,6.0,6.0,91.0,,97.0,1.0,440.0,,,None,100.0,200.0,127.0,(2P + N),50.0,60.0,,2.0,3.0,10.0,,0.167,96.0,,,,1.0,0.0,40.0,0.0,95.0,17.6,678.0,418.0,129.0,55.0,,,,,,,,,,,,,DragonPower6KVA.png,,,,,,,,,
